,Date,Open,Volume,cases,deaths,c_dif,d_dif,o_dif,sc,so
2,2020-01-24,4.59,2291100,2,0,1.0,0.0,-0.08999999999999986,1.0,-1.0
3,2020-01-27,4.37,2932100,5,0,2.0,0.0,-0.21999999999999975,1.0,-1.0
4,2020-01-28,4.49,1771000,5,0,-3.0,0.0,0.1200000000000001,-1.0,1.0
5,2020-01-29,4.55,1852300,5,0,0.0,0.0,0.05999999999999961,0.0,1.0
6,2020-01-30,4.25,1779400,6,0,1.0,0.0,-0.2999999999999998,1.0,-1.0
7,2020-01-31,4.22,2078700,7,0,0.0,0.0,-0.03000000000000025,0.0,-1.0
8,2020-02-03,4.1,3286000,11,0,3.0,0.0,-0.1200000000000001,1.0,-1.0
9,2020-02-04,4.12,2028800,11,0,-4.0,0.0,0.020000000000000462,-1.0,1.0
10,2020-02-05,4.23,1829100,12,0,1.0,0.0,0.11000000000000032,1.0,1.0
11,2020-02-06,4.3,1742600,12,0,-1.0,0.0,0.0699999999999994,-1.0,1.0
12,2020-02-07,4.1,2945300,12,0,0.0,0.0,-0.20000000000000018,0.0,-1.0
13,2020-02-10,4.0,3843300,13,0,1.0,0.0,-0.09999999999999964,1.0,-1.0
14,2020-02-11,4.07,3592900,13,0,-1.0,0.0,0.07000000000000028,-1.0,1.0
15,2020-02-12,4.06,4290300,14,0,1.0,0.0,-0.010000000000000675,1.0,-1.0
16,2020-02-13,3.84,2199000,15,0,0.0,0.0,-0.21999999999999975,0.0,-1.0
17,2020-02-14,3.77,3197200,15,0,-1.0,0.0,-0.06999999999999984,-1.0,-1.0
18,2020-02-18,3.64,2457600,25,0,10.0,0.0,-0.1299999999999999,1.0,-1.0
19,2020-02-19,3.63,2864800,25,0,-10.0,0.0,-0.010000000000000231,-1.0,-1.0
20,2020-02-20,3.72,2922800,27,0,2.0,0.0,0.0900000000000003,1.0,1.0
21,2020-02-21,3.53,3014600,30,0,1.0,0.0,-0.1900000000000004,1.0,-1.0
22,2020-02-24,3.14,3180500,43,0,10.0,0.0,-0.3899999999999997,1.0,-1.0
23,2020-02-25,3.34,3122400,45,0,-11.0,0.0,0.19999999999999973,-1.0,1.0
24,2020-02-26,3.15,3923700,60,0,13.0,0.0,-0.18999999999999995,1.0,-1.0
25,2020-02-27,2.8,4278700,60,0,-15.0,0.0,-0.3500000000000001,-1.0,-1.0
26,2020-02-28,2.69,6287500,65,0,5.0,0.0,-0.10999999999999988,1.0,-1.0
27,2020-03-02,2.74,3368100,104,6,34.0,6.0,0.050000000000000266,1.0,1.0
28,2020-03-03,2.77,3457900,125,10,-18.0,-2.0,0.029999999999999805,-1.0,1.0
29,2020-03-04,2.55,3861300,161,12,15.0,-2.0,-0.2200000000000002,1.0,-1.0
30,2020-03-05,2.48,7601000,228,12,31.0,-2.0,-0.06999999999999984,1.0,-1.0
31,2020-03-06,2.09,8003700,311,15,16.0,3.0,-0.3900000000000001,1.0,-1.0
32,2020-03-09,1.53,12513700,748,26,354.0,8.0,-0.5599999999999998,1.0,-1.0
33,2020-03-10,1.89,8564300,1018,31,-167.0,-6.0,0.3599999999999999,-1.0,1.0
34,2020-03-11,1.9,8955500,1263,37,-25.0,1.0,0.010000000000000009,-1.0,1.0
35,2020-03-12,1.41,8863000,1668,43,160.0,0.0,-0.49,1.0,-1.0
36,2020-03-13,1.5,12348300,2224,50,151.0,1.0,0.09000000000000008,1.0,1.0
37,2020-03-16,1.26,9155300,4507,91,1727.0,34.0,-0.24,1.0,-1.0
38,2020-03-17,1.2,7903500,5906,117,-884.0,-15.0,-0.06000000000000005,-1.0,-1.0
39,2020-03-18,1.15,4491500,8350,162,1045.0,19.0,-0.050000000000000044,1.0,-1.0
40,2020-03-19,1.21,8788800,12393,212,1599.0,5.0,0.06000000000000005,1.0,1.0
41,2020-03-20,1.75,6302900,18012,277,1576.0,15.0,0.54,1.0,1.0
42,2020-03-23,1.45,3392000,43505,579,19874.0,237.0,-0.30000000000000004,1.0,-1.0
43,2020-03-24,1.55,5276800,53938,785,-15060.0,-96.0,0.10000000000000009,-1.0,1.0
44,2020-03-25,1.8,7027000,68572,1054,4201.0,63.0,0.25,1.0,1.0
45,2020-03-26,1.72,6934800,85570,1353,2364.0,30.0,-0.08000000000000007,1.0,-1.0
46,2020-03-27,1.65,4628900,102900,1770,332.0,118.0,-0.07000000000000006,1.0,-1.0
47,2020-03-30,1.52,5270800,163955,3368,43725.0,1181.0,-0.1299999999999999,1.0,-1.0
48,2020-03-31,1.71,5625200,188461,4304,-36549.0,-662.0,0.18999999999999995,-1.0,1.0
49,2020-04-01,1.6,6479100,215391,5325,2424.0,85.0,-0.10999999999999988,1.0,-1.0
50,2020-04-02,1.63,10416100,245108,6541,2787.0,195.0,0.029999999999999805,1.0,1.0
51,2020-04-03,1.77,12457500,277426,7932,2601.0,175.0,0.14000000000000012,1.0,1.0
52,2020-04-06,1.75,7717900,369057,12382,59313.0,3059.0,-0.020000000000000018,1.0,-1.0
53,2020-04-07,1.92,9122400,399394,14616,-61294.0,-2216.0,0.16999999999999993,-1.0,1.0
54,2020-04-08,1.93,10453800,431214,16701,1483.0,-149.0,0.010000000000000009,1.0,1.0
55,2020-04-09,2.33,17500400,465913,18821,2879.0,35.0,0.40000000000000013,1.0,1.0
56,2020-04-13,2.32,7902200,584018,26613,83406.0,5672.0,-0.010000000000000231,1.0,-1.0
57,2020-04-14,2.15,7165300,610709,29318,-91414.0,-5087.0,-0.16999999999999993,-1.0,-1.0
58,2020-04-15,2.03,5687200,640742,32070,3342.0,47.0,-0.1200000000000001,1.0,-1.0
59,2020-04-16,1.99,4569400,672355,34419,1580.0,-403.0,-0.039999999999999813,1.0,-1.0
60,2020-04-17,1.99,9914900,703864,36708,-104.0,-60.0,0.0,-1.0,0.0
61,2020-04-20,1.89,17551300,784991,42016,49618.0,3019.0,-0.10000000000000009,1.0,-1.0
62,2020-04-21,2.11,9265500,810505,44688,-55613.0,-2636.0,0.21999999999999997,-1.0,1.0
63,2020-04-22,2.24,10105900,839336,47059,3317.0,-301.0,0.13000000000000034,1.0,1.0
64,2020-04-23,2.56,18009800,873112,49228,4945.0,-202.0,0.31999999999999984,1.0,1.0
65,2020-04-24,2.94,13732000,909853,51360,2965.0,-37.0,0.3799999999999999,1.0,1.0
66,2020-04-27,2.42,8178100,994193,56022,47599.0,2530.0,-0.52,1.0,-1.0
67,2020-04-28,2.65,4277900,1018844,58416,-59689.0,-2268.0,0.22999999999999998,-1.0,1.0
68,2020-04-29,2.78,8914100,1045399,60930,1904.0,120.0,0.1299999999999999,1.0,1.0
69,2020-04-30,2.89,8961900,1075756,63140,3802.0,-304.0,0.11000000000000032,1.0,1.0
70,2020-05-01,2.67,8162800,1109726,64902,3613.0,-448.0,-0.2200000000000002,1.0,-1.0
71,2020-05-04,2.43,5219600,1187302,68905,43606.0,2241.0,-0.23999999999999977,1.0,-1.0
72,2020-05-05,2.8,5681200,1211011,71139,-53867.0,-1769.0,0.36999999999999966,-1.0,1.0
73,2020-05-06,2.65,4396500,1235517,73847,797.0,474.0,-0.1499999999999999,1.0,-1.0
74,2020-05-07,2.65,5213700,1263995,75805,3972.0,-750.0,0.0,1.0,0.0
75,2020-05-08,2.72,4703700,1291643,77380,-830.0,-383.0,0.07000000000000028,-1.0,1.0
76,2020-05-11,2.78,4298400,1354449,80748,35158.0,1793.0,0.05999999999999961,1.0,1.0
77,2020-05-12,2.81,4193300,1376749,82400,-40506.0,-1716.0,0.03000000000000025,-1.0,1.0
78,2020-05-13,2.7,9577700,1397894,84168,-1155.0,116.0,-0.10999999999999988,-1.0,-1.0
79,2020-05-14,2.4,6321600,1424856,85906,5817.0,-30.0,-0.30000000000000027,1.0,-1.0
80,2020-05-15,2.56,4881700,1451093,87499,-725.0,-145.0,0.16000000000000014,-1.0,1.0
81,2020-05-18,2.79,7835600,1515593,90414,38263.0,1322.0,0.22999999999999998,1.0,1.0
82,2020-05-19,2.74,4889100,1536570,91934,-43523.0,-1395.0,-0.04999999999999982,-1.0,-1.0
83,2020-05-20,2.67,5093200,1559640,93411,2093.0,-43.0,-0.07000000000000028,1.0,-1.0
84,2020-05-21,2.75,5728500,1585373,94722,2663.0,-166.0,0.08000000000000007,1.0,1.0
85,2020-05-22,2.65,4319300,1609172,96010,-1934.0,-23.0,-0.10000000000000009,-1.0,-1.0
86,2020-05-26,2.8,4559000,1689467,98937,56496.0,1639.0,0.1499999999999999,1.0,1.0
87,2020-05-27,2.7,5209200,1708211,100422,-61551.0,-1442.0,-0.09999999999999964,-1.0,-1.0
88,2020-05-28,2.68,5206300,1730723,101622,3768.0,-285.0,-0.020000000000000018,1.0,-1.0
89,2020-05-29,2.58,5706000,1755271,102812,2036.0,-10.0,-0.10000000000000009,1.0,-1.0
90,2020-06-01,2.62,11020200,1821199,105113,41380.0,1111.0,0.040000000000000036,1.0,1.0
91,2020-06-02,2.85,5537900,1841990,106195,-45137.0,-1219.0,0.22999999999999998,-1.0,1.0
92,2020-06-03,2.89,4104700,1861977,107184,-804.0,-93.0,0.040000000000000036,-1.0,1.0
93,2020-06-04,2.72,5526300,1883593,108192,1629.0,19.0,-0.16999999999999993,1.0,-1.0
94,2020-06-05,2.89,11496100,1912302,109304,7093.0,104.0,0.16999999999999993,1.0,1.0
